389: DavidChurch 76.806433; 90% interval: (68.171601, 83.916216)
390: FredFunk 76.807813; 90% interval: (67.228803, 84.751014)
391: KevinStreelman 76.830519; 90% interval: (67.027852, 90.587943)
392: EdFryatt 76.868540; 90% interval: (71.685802, 85.678749)
393: JohnAdams 76.892489; 90% interval: (66.344430, 84.641240)
394: DerekLamely 76.903282; 90% interval: (71.857717, 86.435130)
395: RobertAllenby 76.910800; 90% interval: (60.179465, 95.847891)
396: MikeHarmon 76.945172; 90% interval: (65.795199, 82.854337)
397: DavisLoveIII 76.997247; 90% interval: (58.088425, 92.336996)
398: ThomasLevet 77.154735; 90% interval: (69.394228, 98.319943)
399: RussCochran 77.212244; 90% interval: (72.155377, 87.114710)
400: DeanePappas 77.221696; 90% interval: (72.386446, 86.774279)
401: DavidSchnider 77.247524; 90% interval: (59.493508, 89.127235)
402: YusakuMiyazato 77.270167; 90% interval: (66.168361, 87.665363)
403: BrettQuigley 77.284229; 90% interval: (67.384022, 86.855523)
404: BrianDavis 77.296507; 90% interval: (65.155267, 90.127723)
405: BryantMacKellar 77.296765; 90% interval: (69.432693, 84.617015)
406: JimFuryk 77.337933; 90% interval: (63.942055, 86.780266)
407: Lian-WeiZhang 77.359548; 90% interval: (67.630983, 89.431350)
408: PatrickSheehan 77.493526; 90% interval: (64.623633, 85.677530)
409: SteveScott 77.498708; 90% interval: (71.670166, 84.771299)
410: TomCarter 77.588791; 90% interval: (68.647621, 83.573025)
411: BrianGay 77.608446; 90% interval: (71.457975, 84.974379)
412: CarlPaulson 77.614164; 90% interval: (70.366326, 84.782530)
413: BobFord 77.618954; 90% interval: (67.414033, 84.481827)
414: GaryHallberg 77.825799; 90% interval: (71.196296, 82.906517)
